「Phew...」	「ふう……」	Phew...	「ふぅ……」
Meanwhile, Yuri smiles sadly.	一方、ユリは悲しそうに微笑む。	Meanwhile, Yuri smiles sadly.	一方、ユリは悲しそうに微笑む。
「<i>(What's with this language...?)</i>」	<i>（何なのよこの言い回し……？）</i>	<i>(What's with this language...?)</i>	<i>（何なのよ、この言い回し……！？）</i>
「Eh?」	「えっ？」	Eh?	「えっ？」
「Um...did you say something?」	「あの……何か言いましたか？」	Um...did you say something?	「あの……何か言いましたか？」
「Oh, it's nothing.」	「いや、何でもないわ」	Oh, it's nothing.	「いや、何でもないわ」
Natsuki dismissively returns the poem to the desk with one hand.	ナツキは持っていた詩を素っ気なく片手で机の上に置いた。	Natsuki dismissively returns the poem to the desk with one hand.	ナツキは持っていた詩を素っ気なく片手で机の上に置いた。
「I guess you could say it's fancy.」	「しゃれた感じなんじゃない」	I guess you could say it's fancy.	「しゃれた感じなんじゃない」
「Ah-- Thanks...」	「あ、ありがとうございます……」	Ah-- Thanks...	「あ、ありがとうございます……」
「Yours is...cute...」	「あなたのは……かわいいですね……」	Yours is...cute...	「あなたのは……かわいいですね……」
「Cute?」	「かわいい？」	Cute?	「かわいい？」
「Did you completely miss the symbolism or something?」	「まさか何を象徴しているのか何にも気づかなかったってわけ？」	Did you completely miss the symbolism or something?	「まさか、何を象徴してるのかまったく気づかなかったってわけ？」
「It's clearly about the feeling of giving up.」	「どう見たって諦めの心情についてでしょ」	It's clearly about the feeling of giving up.	「どう見たって諦めの心情についてでしょ」
「How can that be cute?」	「どうしたらかわいく見えるのよ？」	How can that be cute?	「どうしたらかわいく見えるのよ？」
「I-I know that!」	「わ、分かってます！」	I-I know that!	「わ、わかってます！」
「I just meant...」	「ただ私が言いたいのは……」	I just meant...	「ただ私が言いたいのは……」
「The language, I guess...」	「その、言葉選びとか……」	The language, I guess...	「その、言葉選びとか……」
「I was trying to say something nice...」	「気の利いたことを言えたら良かったんですけど……」	I was trying to say something nice...	「気の利いたことを言えたら良かったんですけど……」
「Eh?」	「はあ？」	Eh?	「はっ？」
「You mean you have to try that hard to come up with something nice to say?」	「つまり気の利いたことを言うのにそんなに苦労する作品だっていうのね」	You mean you have to try that hard to come up with something nice to say?	「つまり気の利いたことを言うのにそんなに苦労する作品だっていうのね」
「Thanks, but it really didn't come out nice at all!」	「結構結構、でも気なんて全然利いてなかったわ！」	Thanks, but it really didn't come out nice at all!	「結構結構、でも気なんて全然利いてなかったわ！」
「Um...」	「えっと……」	Um...	「その……」
「Well, I do have a couple suggestions...」	「その、いくつか提案したいことがあるのですが……」	Well, I do have a couple suggestions...	「その、いくつか提案したいことがあるのですが……」
「Hmph.」	「ふん」	Hmph.	「ふん」
「If I was looking for suggestions, I would have asked someone who actually liked it.」	「詩を気に入ってくれた人の提案なら、聞いてあげないこともなかったけどね」	If I was looking for suggestions, I would have asked someone who actually liked it.	「詩を気に入ってくれた人の提案なら、聞いてあげないこともなかったけどね」
「Which people <i>did</i>, by the way.」	「実際そういう人は<i>ちゃんと</i>いるんだし」	Which people <i>did</i>, by the way.	「実際そういう人は<i>ちゃんと</i>いるんだし」
「Monika liked it.」	「モニカとか」	Monika liked it.	「モニカとか」
「And [player] did, too!」	「それに[player]だって！」	And [player] did, too!	「それに[player]だって！」
「So based on that, I'll gladly give you some suggestions of my own.」	「それに、そもそもわたしからも是非提案したいことがあるわ」	So based on that, I'll gladly give you some suggestions of my own.	「それに、そもそもアタシからもぜひ提案したいことがあるわ」
「First of all--」	「まずねえ……」	First of all--	「まずねえ……」
「Excuse me...」	「すみません、あの……」	Excuse me...	「すみません、あの……」
「I appreciate the offer, but I've spent a long time establishing my writing style.」	「折角なのですが、この文体を確立するために私は長い時間をかけてきたんです」	I appreciate the offer, but I've spent a long time establishing my writing style.	「折角なのですが、この文体を確立するために私は長い時間をかけてきたんです」
「I don't expect it to change anytime soon, unless of course I come across something particularly inspiring.」	「心を突き動かす何かに出会わない限りは、しばらくこのまま変わらないと思います」	I don't expect it to change anytime soon, unless of course I come across something particularly inspiring.	「心を突き動かす何かに出会わない限りは、しばらくこのまま変わらないと思います」
「Which I haven't yet.」	「そういうものにはまだ出会えていないのですけどね」	Which I haven't yet.	「そういうものにはまだ出会えていないのですけどね」
「Nn...!」	「なっ……！」	Nn...!	「なっ……！」
「And [player] liked my poem too, you know.」	「それに[player]さんは私の詩も気に入って下さったみたいですよ」	And [player] liked my poem too, you know.	「それに[player]さんは私の詩も気に入ってくださったみたいですよ」
「He even told me he was impressed by it.」	「感動したとまで言ってくださいましたし」	He even told me he was impressed by it.	「感動したとまで言ってくださいましたし」
Natsuki suddenly stands up.	ナツキは突然席を立った。	Natsuki suddenly stands up.	ナツキは突然席を立った。
「Oh?」	「なによ？」	Oh?	「あら」
「I didn't realize you were so invested in trying to impress our new member, Yuri.」	「ユリってば新入部員とお近づきになりたくて必死だったなんて気がつかなかったわ」	I didn't realize you were so invested in trying to impress our new member, Yuri.	「ユリってば、新入部員とお近づきになりたくて必死だったなんて気がつかなかったわ」
「E-Eh?!」	「え、ええっ！？」	E-Eh?!	「え、えっ！？」
「That's not what I...!」	「そういうわけでは……！」	That's not what I...!	「そういうわけでは……！」
「Uu...」	「うう……」	Uu...	「うう……」
「You...You're just...」	「あ、あなただって……」	You...You're just...	「あ、あなただって……」
Yuri stands up as well.	ユリも同じように席を立つ。	Yuri stands up as well.	ユリも同じように席を立つ。
「Maybe you're just jealous that [player] appreciates my advice more than he appreciated yours!」	「あなただって[player]さんがあなたより私のアドバイスを尊重したことに嫉妬してるのではないですか！？」	Maybe you're just jealous that [player] appreciates my advice more than he appreciated yours!	「あなただって[player]さんがあなたより私のアドバイスを尊重したことに嫉妬しているのではないですか！？」
「Huh! And how do you know he didn't appreciate <i>my</i> advice more?」	「はん！ で、どうやってわたしのアドバイスより有難がってるって分かるのよ？」	Huh! And how do you know he didn't appreciate <i>my</i> advice more?	「はん！ 何で<i>アタシの</i>アドバイスよりありがたがってるってわかるのよ？」
「Are you that full of yourself?」	「調子に乗りすぎなんじゃないの？」	Are you that full of yourself?	「調子に乗りすぎなんじゃない？」
「I...!」	「私は……！」	I...!	「……もしですよ！」
「No...」	「違う……」	No...	「いいえ……」
「If I was full of myself...」	「私が調子に乗っていたのなら……」	If I was full of myself...	「調子に乗っていたのなら……」
「...I would deliberately go out of my way to make everything I do overly cutesy!」	「私だってわざとらしくぶりっ子してますよ！」	...I would deliberately go out of my way to make everything I do overly cutesy!	「私だってわざとらしく、かわいこぶりっ子してますよ！」
「Uuuuuu...!」	「うううぐぐぐぐ……！」	Uuuuuu...!	「うぐぐぐぐ……！」
「Well, you know what?!」	「じゃあ言うけどね！」	Well, you know what?!	「じゃあ言うけどね！」
「I wasn't the one whose boobs magically grew a size bigger as soon as [player] started showing up!!」	「[player]が入ってから突然胸をワンサイズ盛りだしたのはどっちよ？！」	I wasn't the one whose boobs magically grew a size bigger as soon as [player] started showing up!!	「[player]が入ってから突然胸をワンサイズ盛りだしたのはどこのどいつよ！？」
「N-Natsuki!!」	「な、ナツキちゃん！！」	N-Natsuki!!	「な、ナツキちゃん！！」
「Um, Natsuki, that's a little--」	「えっとナツキ、それはちょっと――」	Um, Natsuki, that's a little--	「えっとナツキ、それはちょっと――」
「This doesn't involve you!」	「部外者は黙ってて！」\n「部外者は黙っててください！」	This doesn't involve you!	「「部外者は黙ってて！」ください！」
「Taking out your own insecurities on others like that...」	「自分に自信がないからとそうやって他人に八つ当たりして……」	Taking out your own insecurities on others like that...	「自分に自信がないからって、そうやって他人に八つ当たりして……」
「You really act as young as you look, Natsuki.」	「見た目通り幼稚なんですね、ナツキちゃんは」	You really act as young as you look, Natsuki.	「見た目通り幼稚なんですね、ナツキちゃんは」
「<i>Me?</i> Look who's talking, you wannabe edgy bitch!」	「<i>わたし</i>？誰がそんなこと言ってるのかしら、この中二病女！」	<i>Me?</i> Look who's talking, you wannabe edgy bitch!	「<i>アタシが</i>？ 中二病女のアンタに言われる筋合いないわ！」
「Edgy...?」	「中二病……？」	Edgy...?	「中二病……？」
「Sorry that my lifestyle is too much for someone of your mental age to comprehend!」	「精神年齢が低いあなたには到底理解できない生活でごめんなさいね！」	Sorry that my lifestyle is too much for someone of your mental age to comprehend!	「精神年齢が低いあなたには到底理解できないみたいで、ごめんなさいね！」
「See??」	「ほらみなさいよ！」	See??	「ほら、見なさいよ！」
「Just saying that proves my point!」	「わたしの言う通りじゃない！」	Just saying that proves my point!	「そういうところを言ってんのよ！」
「Most people learn to get over themselves after they graduate middle school, you know.」	「中学を卒業する頃にはだいたいみんな落ち着くのに」	Most people learn to get over themselves after they graduate middle school, you know.	「中学を卒業する頃にはだいたいみんな落ち着くってのにさ」
「If you want to prove anything, then stop harassing others with your sickening attitude!」	「自分を正当化したいのならその胸糞悪い態度を改めたらどうなんですか！」	If you want to prove anything, then stop harassing others with your sickening attitude!	「自分を正当化したいのなら、その吐き気のする態度を改めたらどうなんですか！」
「You think you can counterbalance your toxic personality just by dressing and acting cute?」	「着飾ってぶりっ子したってその最悪な性格は隠しきれてないですもんね？」	You think you can counterbalance your toxic personality just by dressing and acting cute?	「着飾ってぶりっ子したって、その最悪な性格は隠しきれてないですよ？」
「The only cute thing about you is how hard you try.」	「必死すぎるところしか可愛げがないですから」	The only cute thing about you is how hard you try.	「必死すぎるところしか、かわいげがないですから」
「Whoa, be careful or you might cut yourself on that edge, Yuri.」	「おーっとユリ、中二病が悪化しすぎて自分まで傷つけないようにね」	Whoa, be careful or you might cut yourself on that edge, Yuri.	「おーっとユリ、中二病が悪化しすぎて自分まで傷つけないようにね」
「Oh, my bad... You already do, don't you?」	「って、そうだった……もうしてるのよね？」	Oh, my bad... You already do, don't you?	「って、そうだった……もうしちゃってるのよね？」
「D-Did you just accuse me of cutting myself??」	「わ、私が自傷行為をしてると疑ってるんですか？？」	D-Did you just accuse me of cutting myself??	「わ、私が自傷行為をしてると疑ってるんですか？？」
「What the fuck is wrong with your head?!」	「頭いかれてるんじゃないんですか！？」	What the fuck is wrong with your head?!	「頭がおかしいんじゃないんですか！？」
「Yeah, go on!」	「ほらもっと言ってみなさいよ！」	Yeah, go on!	「ほら、もっと言いなさいよ！」
「Let [player] hear everything you really think!」	「あんたの本心を[player]に全部聞かせなさいよ！」	Let [player] hear everything you really think!	「アンタの本性、[player]に全部聞かせなさいよ！」
「I'm sure he'll be head over heels for you after this!」	「そしたらこの後あんたに首ったけになってるんじゃないの！？」	I'm sure he'll be head over heels for you after this!	「そしたらこの後アンタに首ったけになってるんじゃないの！？」
「A-Ah--!」	「あ、あっ……！」	A-Ah--!	「あ、あっ……！」
Suddenly, Yuri turns toward me, as if she just noticed I was standing here.	突然ユリは、俺がそこにいることに今気づいたようにこちらへ振り向いた。	Suddenly, Yuri turns toward me, as if she just noticed I was standing here.	ユリは俺がそこにいると気づき、慌ててこちらを振り向いた。
「[player]...!」	「[player]さん……！」	[player]...!	「[player]さん……！」
「She-- She's just trying to make me look bad...!」	「こ、この子が私の印象を悪くしようとしてるだけなんです……！」	She-- She's just trying to make me look bad...!	「こ、この子が私の印象を悪くしようとしてるだけなんです……！」
「That's not true!」	「違うでしょ！」	That's not true!	「違うでしょ！」
「She started it!」	「そっちが始めたんでしょうが！」	She started it!	「そっちが始めたんでしょうが！」
「...」	「……」	...	「……」
How did I get dragged into this in the first place?!	そもそもどうして俺が巻き込まれてるんだ！？	How did I get dragged into this in the first place?!	そもそもどうして俺が巻き込まれてるんだ！？
It's not like I know anything about writing...	書き物について特に詳しいわけでもないのに……	It's not like I know anything about writing...	書き物について特に詳しいわけでもないのに……
But whomever I agree with, they'll probably think more highly of me!	でもどっちかに俺が賛成したら、きっとその子からは評価されるはずだ！	But whomever I agree with, they'll probably think more highly of me!	でもどっちかに俺が賛成したら、きっとその子からは評価されるはずだ！
So, of course that's going to be...!	だから、それはもちろん……！	So, of course that's going to be...!	だから、それはもちろん……！
Natsuki.	ナツキ	Natsuki.	ナツキ
Yuri.	ユリ	Yuri.	ユリ
「...」	「……」	...	「……」
「...」	「……」	...	「……」
「...」	「……」	...	「……」
「Um...」	「えっと……」	Um...	「えっと……」
「Hey, [player]...」	「ねえ、[player]君……」	Hey, [player]...	「ねえ、[player]君」
「Why don't we\nstep outside for\na little bit?」	「私たちは\nちょっと\n外に行かない？」	Why don't we<br>step outside for<br>a little bit?	「ちょっと席を<br>外しましょうか？」
「Okay?」	「ね？」	Okay?	「わかってくれる？」
「Sorry about that...」	「さっきはごめんなさい……」	Sorry about that...	「何だか、ごめんなさい……」
「They really shouldn't have tried to get you involved.」	「二人とも、あなたを巻き込むべきじゃなかったのに」	They really shouldn't have tried to get you involved.	「二人とも、あなたを巻き込むべきじゃなかったのに」
「It's probably better for us to stay out of this...」	「私たちは関わらない方がいいと思うわ……」	It's probably better for us to stay out of this...	「私たちは関わらない方がいいと思うわ……」
「We'll go back inside once they're done yelling.」	「二人が怒鳴り終わったら戻りましょう」	We'll go back inside once they're done yelling.	「二人が怒鳴り終わったら戻りましょう」
「Ahaha...」	「あはは……」	Ahaha...	「そうだな……」
「Some president I am, right?」	「私も大した部長よね？」	Some president I am, right?	「私も大した部長よね？」
「I can't even confront my own club members properly...」	「部員をちゃんと宥めることすらできない……」	I can't even confront my own club members properly...	「部員をちゃんとなだめることすらできない……」
「I just wish I was able to be a little more assertive sometimes.」	「もっと自己主張できるようになりたくなることはあるけど……」	I just wish I was able to be a little more assertive sometimes.	「もっと自己主張できるようになりたくはあるけど……」
「But I never have it in me to put my foot down against others...」	「他人に対して強く主張する気がどうしても起きないの……」	But I never have it in me to put my foot down against others...	「他人に対して強く主張する気がどうしても起きないの……」
「You understand, right?」	「分かってくれるわよね？」	You understand, right?	「わかってくれるよね？」
「Anyway...」	「それより……」	Anyway...	「じゃあ……」
「If this makes you want to spend less time with the others, then that's fine.」	「これで部員たちと距離を置きたくなったならそれでも良いわ」	If this makes you want to spend less time with the others, then that's fine.	「これで部員たちと距離を置きたくなったなら、それでも良いわ」
「I'd be happy to spend time with you instead...」	「その代わりに私と一緒に過ごすのは大歓迎だけど……」	I'd be happy to spend time with you instead...	「その分、あなたが私と一緒に過ごすのは大歓迎だけど……」
Suddenly, Natsuki runs out of the classroom.	突然、ナツキが部室から飛び出してきた。	Suddenly, Natsuki runs out of the classroom.	突然、ナツキが部室から飛び出してくる。
「...」	「……」	...	「……」
She quickly runs away.	そのまま走り去ってしまった。	She quickly runs away.	そのまま走り去ってしまった。
「Oh dear...」	「あら、まあ……」	Oh dear...	「あら、まあ……」
「...Well, it looks like they're done...」	「……どうやら終わったみたいね……」	...Well, it looks like they're done...	「……どうやら終わったみたいね……」
「I didn't mean it...」	「あんなつもりは……」	I didn't mean it...	「そんなつもりは……」
「I didn't mean it...」	「あんなつもりは……」	I didn't mean it...	「そんなつもりは……」
「I didn't mean it...」	「あんなつもりは……」	I didn't mean it...	「そんなつもりは……」
Yuri is rocking back and forth in her desk with her palms on her forehead.	ユリは座って両手で顔を隠しながら前後に揺れ動いていた。	Yuri is rocking back and forth in her desk with her palms on her forehead.	ユリは座って両手で顔を隠しながら、小さく震えていた。
「Yuri...?」	「ユリ……？」	Yuri...?	「ユリ……？」
「I didn't mean it!!」	「あんなつもりはなかったんです！！」	I didn't mean it!!	「そんなつもりはなかったんです！！」
「I-I believe you...」	「し、信じるよ……」	I-I believe you...	「し、信じるよ……」
I have no idea what Yuri might have said to Natsuki.	あのあとユリがナツキに何を言ったのか全く想像つかない。	I have no idea what Yuri might have said to Natsuki.	あのあと、ユリがナツキに何を言ったのかまったく想像がつかない。
Or did.	何をしたかも。	Or did.	何をしたのかも。
「[player].」	「[player]さん」	[player].	「[player]さん」
「Please don't hate me.」	「嫌いにならないでください」	Please don't hate me.	「嫌いにならないでください」
「Please!」	「お願いです！」	Please!	「お願いです！」
「I'm not like this!」	「私こんな人間じゃないんです！」	I'm not like this!	「私、こんな人間じゃないんです！」
「There's something wrong with me today...」	「今日の私は何かおかしいんです……」	There's something wrong with me today...	「今日の私は、何かおかしいんです……」
「It's fine, Yuri.」	「大丈夫よ、ユリ」	It's fine, Yuri.	「大丈夫よ、ユリ」
「We know you didn't mean it.」	「あれがあなたの本心じゃないって分かってるわ」	We know you didn't mean it.	「あれがあなたの本心じゃないってわかってるわ」
「Besides, I'm sure Natsuki will forget all about it by tomorrow.」	「それに、ナツキも明日には全部忘れてるわ」	Besides, I'm sure Natsuki will forget all about it by tomorrow.	「それに、ナツキも明日には全部忘れてるわ」
「Completely.」	「完全にね」	Completely.	「完全にね」
「...」	「……」	...	「……」
「Anyway, the meeting is over, so you can go home now if you want.」	「それより、今日の部活は終わりだから帰ってもらってもいいわよ」	Anyway, the meeting is over, so you can go home now if you want.	「さ、今日の部活はもう終わりだから帰っていいわよ」
「...」	「……」	...	「……」
Yuri looks at me like she wants to say something.	ユリは何か言いたげにこちらを見るが……	Yuri looks at me like she wants to say something.	ユリは何か言いたげにこちらを見るが……
But she keeps glancing at Monika.	モニカの方もちらちら見ている。	But she keeps glancing at Monika.	モニカの方もちらちら見ている。
「Y-You can go first, Monika...」	「さ、先に行っててくださいモニカちゃん……」	Y-You can go first, Monika...	「さ、先に行っててください、モニカちゃん……」
「I'd like to stay a little bit longer.」	「もう少しここにいたいので」	I'd like to stay a little bit longer.	「私はもう少しここにいたいので」
「I'm the President, so I should be the last one out.」	「部長は私なんだから、私が最後に出て行くべきよ」	I'm the President, so I should be the last one out.	「部長は私なんだから、私が最後に出て行くべきよ」
「I'll wait for you to be done.」	「気が済むまで待ってるから」	I'll wait for you to be done.	「気が済むまで待ってるから」
「...」	「……」	...	「……」
「...」	「……」	...	「……」
「Well-- I'm Vice President, so...」	「でしたら……私も副部長ですから……」	Well-- I'm Vice President, so...	「でしたら……私も副部長ですから……」
「Please let me take that responsibility today.」	「今日はその責任を果たさせてください」	Please let me take that responsibility today.	「今日はその責任を果たさせてください」
「It kind of sounds like you don't want me around for something, Yuri.」	「ユリはまるで私に居てほしくないみたいだけど」	It kind of sounds like you don't want me around for something, Yuri.	「まるで、私にいてほしくないみたいだけど」
「I-It's not that!」	「ち、違います！」	I-It's not that!	「ち、違います！」
「It's not that...」	「違うんです……」	It's not that...	「違うんです……」
「I just...」	「私はただ……」	I just...	「アタシはただ……」
「I didn't get much of a chance to discuss my book with [player]...」	「[player]さんと本についてまだ話し合えてないので……」	I didn't get much of a chance to discuss my book with [player]...	「[player]さんと本についてまだ話し合えてないので……」
「It would just be...embarrassing with you listening...」	「モニカちゃんに聞かれるのが……恥ずかしくて……」	It would just be...embarrassing with you listening...	「モニカちゃんに聞かれるのが……恥ずかしくて……」
「<i>*Sigh*</i>」	「<i>はあぁ……</i>」	<i>*Sigh*</i>	「<i>はあぁ……</i>」
「I guess I don't really have a choice, do I?」	「私に選択肢はないみたいね？」	I guess I don't really have a choice, do I?	「私に選択肢はないみたいね？」
「I-I'm sorry for causing trouble...」	「ご、ご迷惑をおかけしてすみません……」	I-I'm sorry for causing trouble...	「ご、ご迷惑をおかけしてすみません……」
「But I really appreciate you understan	「でも理解してくれてありが	But I really appreciate you understan	「でも理解してくれてありが
「But I really appreciate you understan[gtext] [gtext][gtext]」	「でも理解してくれてありが[gtext] [gtext][gtext]」	But I really appreciate you understan[gtext] [gtext][gtext]	「でも理解してくれてありが[gtext] [gtext][gtext]」
