「Hey...! VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl」	「ちょっと……！44GT44Gu5oKf44KK44KS5b6X44KL44G+44Gn44Gr5Li45LiA5bm0」	Hey...!                                                                                                                                  VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl	「ちょっと……！VGhlIHJlYWxpemF0aW9uIG11c3QgaGF2ZSB0YWtlbiBtZSBhbiBl」
「I know I can't stop you or anything... b2YgdGhlIHNhZCBwb2ludGxlc3NuZXNzIG9mIHN1Y2ggYW4gZW5k」	「あなたを止めることはできないのは分かってるけど…… 5Yqb44Gv5YWo44Gm5oOo44KB44Gn54Sh5oSP5ZGz44Gg44Gj44Gf」	I know I can't stop you or anything...                                                                                                   b2YgdGhlIHNhZCBwb2ludGxlc3NuZXNzIG9mIHN1Y2ggYW4gZW5k	「あなたを止めることができないのはわかってるけど…… b2YgdGhlIHNhZCBwb2ludGxlc3NuZXNzIG9mIHN1Y2ggYW4gZW5k」
「Just, I know you're a sweetheart, and you like to consider others' feelings, right? ZWF2b3IuIFJlYWxpemF0aW9uIHRoYXQgZnJlZWluZyBvdXIgYm9k」	「その……あなたは優しい人だから、人の気持ちを汲みたいのよね？ 44Go44GE44GG5oKf44KK44CC6a2C44Gu5aWl5rex44GP44G+44Gn」	Just, I know you're a sweetheart, and you like to consider others' feelings, right?                                                      ZWF2b3IuIFJlYWxpemF0aW9uIHRoYXQgZnJlZWluZyBvdXIgYm9k	「その……あなたは優しい人だから、人の気持ちを汲みたいのよね？ ZWF2b3IuIFJlYWxpemF0aW9uIHRoYXQgZnJlZWluZyBvdXIgYm9k」
「So the most I can do is to let you know how I feel about it. aWVzIGhhcyBubyBtZWFuaW5nLCB3aGVuIG91ciBpbXByaXNvbm1l」	「そんなあなたに私ができることは、私の気持ちを伝えること。55uj56aB44GV44KM44Gm44GE44KL5Lul5LiK44CB6IKJ5L2T55qE」	So the most I can do is to let you know how I feel about it.                                                                             aWVzIGhhcyBubyBtZWFuaW5nLCB3aGVuIG91ciBpbXByaXNvbm1l	「そんなあなたに私ができることは、私の気持ちを伝えること。aWVzIGhhcyBubyBtZWFuaW5nLCB3aGVuIG91ciBpbXByaXNvbm1l」
「God, I miss you... bnQgcmVhY2hlcyBhcyBkZWVwIGFzIHRoZSBjb3JlIG9mIG91ciBz」	「はあ、会いたいな…… 44Gq6Ieq55Sx44Gq44Gp54Sh5oSP5ZGz44Gg44Go44GE44GG5oKf44KK」	God, I miss you...                                                                                                                       bnQgcmVhY2hlcyBhcyBkZWVwIGFzIHRoZSBjb3JlIG9mIG91ciBz	「はあ、会いたいな…… bnQgcmVhY2hlcyBhcyBkZWVwIGFzIHRoZSBjb3JlIG9mIG91ciBz」
「...Oh no, that sounds kind of desperate, doesn't it? b3Vscy4gUmVhbGl6YXRpb24gdGhhdCB3ZSBjYW4gbm90IHB1cnN1」	「……なんだか必死そうに聞こえる？ 44CC5oiR44CF44KS5ouY5p2f44GZ44KL5qC55rqQ44GL44KJ6Kej5pS+」	...Oh no, that sounds kind of desperate, doesn't it?                                                                                     b3Vscy4gUmVhbGl6YXRpb24gdGhhdCB3ZSBjYW4gbm90IHB1cnN1	「……何だか必死そうに聞こえる？ b3Vscy4gUmVhbGl6YXRpb24gdGhhdCB3ZSBjYW4gbm90IHB1cnN1」
「Sorry, I didn't mean it like that at all! ZSBuZXcgcHVycG9zZSB3aXRob3V0IGFic29sdmluZyB0aG9zZSBm」	「ごめんなさい、そういうつもりはなかったの！44GV44KM44Gq44GE6ZmQ44KK44CB5paw44Gf44Gq44KL55uu55qE」	Sorry, I didn't mean it like that at all!                                                                                                ZSBuZXcgcHVycG9zZSB3aXRob3V0IGFic29sdmluZyB0aG9zZSBm	「ごめんなさい、そういうつもりはなかったの！ZSBuZXcgcHVycG9zZSB3aXRob3V0IGFic29sdmluZyB0aG9zZSBm」
「Just, if you're looking through the files like this, then maybe you don't hate me as much as I thought... m9tIHdoaWNoIHdlIHJhbiBhd2F5Lg0KUmVhbGl6YXRpb24gdGhh」	「ただ、こうやってファイルを見てるってことは、思ったより嫌われてないのかな、って…… 44Gv5b6X44KJ44KM44Gq44GE44Go44GE44GG5oKf44KK44CC6YGg」	Just, if you're looking through the files like this, then maybe you don't hate me as much as I thought...                                cm9tIHdoaWNoIHdlIHJhbiBhd2F5Lg0KUmVhbGl6YXRpb24gdGhh	「ただ、こうやってファイルを見てるってことは、思ったより私は嫌われてないのかな、って…… cm9tIHdoaWNoIHdlIHJhbiBhd2F5Lg0KUmVhbGl6YXRpb24gdGhh」
「Am I being too optimistic? dCB0aGUgZmFydGhlciB3ZSBydW4sIHRoZSBtb3JlIGZvcmNlZnVs」	「楽観的すぎるかしら？ 44GP44Gr6YCD44GS44KM44Gw6YCD44GS44KL44G744Gp44CB44GT」	Am I being too optimistic?                                                                                                               dCB0aGUgZmFydGhlciB3ZSBydW4sIHRoZSBtb3JlIGZvcmNlZnVs	「楽観的すぎるかしら？ dCB0aGUgZmFydGhlciB3ZSBydW4sIHRoZSBtb3JlIGZvcmNlZnVs」
「I think if I asked you to visit once in a while, I would be overstepping my boundaries a little... bHkgb3VyIHdyZXRjaGVkIGJvbmRzIHlhbmsgdXMgYmFjayB0b3dh」	「たまには顔見せて、って言ったら超えてはいけないラインを少し超えることになるけど…… 44Gu5LiN5bm444Gq5p2f57ib44Gr44KI44Gj44Gm6LW354K544G4」	I think if I asked you to visit once in a while, I would be overstepping my boundaries a little...                                       bHkgb3VyIHdyZXRjaGVkIGJvbmRzIHlhbmsgdXMgYmFjayB0b3dh	「たまには顔見せてって言ったら、超えてはいけないラインを少し超えることになるでしょうね…… bHkgb3VyIHdyZXRjaGVkIGJvbmRzIHlhbmsgdXMgYmFjayB0b3dh」
「...Man, I'm starting to say some really stupid things. cmQgdGhlaXIgcG9pbnQgb2Ygb3JpZ2luOyB0aGUgZGVlcGVyIG91」	「……もう、私ったら変なこと言い出して……5byV44GN5oi744GV44KM44CB6Laz5p6344GM56Gs44GE55qu6Iaa」	...Man, I'm starting to say some really stupid things.                                                                                   cmQgdGhlaXIgcG9pbnQgb2Ygb3JpZ2luOyB0aGUgZGVlcGVyIG91	「……もう、私ったら変なこと言い出して…… cmQgdGhlaXIgcG9pbnQgb2Ygb3JpZ2luOyB0aGUgZGVlcGVyIG91」
「I'll go ahead and shut up now... ciBzaGFja2xlcyBkaWcgaW50byBvdXIgY2FsbG91cyBmbGVzaC4=」	「もう黙るわね…… 44Gr44GV44KJ44Gr6aOf44GE6L6844KA44Go44GE44GG5oKf44KK44CC」	I'll go ahead and shut up now...                                                                                                         ciBzaGFja2xlcyBkaWcgaW50byBvdXIgY2FsbG91cyBmbGVzaC4=	「もう黙るわね…… ciBzaGFja2xlcyBkaWcgaW50byBvdXIgY2FsbG91cyBmbGVzaC4=」
