「Heeeeeeeyyy!!」	「おーはーよーーー！」	Heeeeeeeyyy!!	「おっはよーーー！」
「That's mean, [player]!」	「[player]のいじわる！」	That's mean, [player]!	「[player]のイジワル！」
「Well, if people stare at you for acting weird then I don't want them to think we're a couple or something.」	「そりゃ、変てこなお前を見た周りの人に俺たちがカップルか何かだとは思われたくないし」	Well, if people stare at you for acting weird then I don't want them to think we're a couple or something.	「そりゃ、周りの人にお前みたいなヘンテコちゃんとカップルか何かだとか思われたくないし」
「Fine, fine.」	「はい、はい」	Fine, fine.	「はい、はい」
「But you did wait for me, after all.」	「でも結局、わたしを待っててくれたんでしょ」	But you did wait for me, after all.	「でも結局、わたしを待っててくれたんでしょ？」
「I guess you don't have it in you to be mean even if you want to~」	「いじわるしたくても、できないんだね～」	I guess you don't have it in you to be mean even if you want to~	「イジワルしたくても、できないんだね～」
「Whatever you say, Sayori...」	「何とでも言っとけ、サヨリ」	Whatever you say, Sayori...	「……何とでも言えよ」
「Ehehe~」	「えへへ～」	Ehehe~	「うふふ」
We cross the street together and make our way to school.	俺たちは道路を渡り、学校へ歩みを進める。	We cross the street together and make our way to school.	俺たちは横断歩道を渡り、学校へと歩みを進める。
As we draw near, the streets become increasingly speckled with other students making their daily commute.	学校に近づくと、通学路には他の生徒の姿が徐々に増えていく。	As we draw near, the streets become increasingly speckled with other students making their daily commute.	学校に近づくにつれ、通学路には他の生徒の姿が徐々に増えていく。
「By the way, [player]...」	「ところでさ、[player]……」	By the way, [player]...	「ところでさ、[player]……」
「Have you decided on a club to join yet?」	「まだ入る部活は決めてないの？」	Have you decided on a club to join yet?	「入る部活って、まだ決めてないの？」
「A club?」	「部活？」	A club?	「部活？」
「I told you already, I'm really not interested in joining any clubs.」	「マジで部活には興味ないって前から言っていたはずだが」	I told you already, I'm really not interested in joining any clubs.	「前に言っただろ、マジで部活には興味ない」
「I haven't been looking, either.」	「それに探してもいないよ」	I haven't been looking, either.	「探してもいないよ」
「Eh? That's not true!」	「えぇぇぇ、そんなぁ！」	Eh? That's not true!	「えぇぇぇ、そんなぁ！」
「You told me you would join a club this year!」	「今年は部活入るって言ってたじゃん！」	You told me you would join a club this year!	「今年は部活入るって言ってたじゃん！」
「Did I...?」	「え、言ったか？」	Did I...?	「え、言ったか？」
I'm sure it's possible that I did, in one of our many conversations where I dismissively go along with whatever she's going on about.	いつものように彼女の話に合わせて適当に返事していた時にでも言ってしまった可能性は十分にある。	I'm sure it's possible that I did, in one of our many conversations where I dismissively go along with whatever she's going on about.	いつものように、彼女の話に適当に相槌を打っていた時に言ってしまった可能性は十分にある。
Sayori likes to worry a little too much about me, when I'm perfectly content just getting by on the average while spending my free time on games and anime.	暇な時間は大抵アニメかゲームをやって、平穏な生活が送れればもうそれで満足なのに、彼女はそれを心配しすぎる節がある。	Sayori likes to worry a little too much about me, when I'm perfectly content just getting by on the average while spending my free time on games and anime.	暇な時間はアニメを見るかゲームをして、平穏な生活が送れればそれで俺は満足なのに、サヨリはそれを妙に心配しているのだ。
「Uh-huh!」	「ああ、もう！」	Uh-huh!	「ああ、もう！」
「I was talking about how I'm worried that you won't learn how to socialize or have any skills before college.」	「わたしは[player]が大学に行く前に社会性もスキルも身につかないんじゃないかって心配だっていってるの！」	I was talking about how I'm worried that you won't learn how to socialize or have any skills before college.	「わたしは[player]が大学へ行く前に社会性もスキルも身につかないんじゃないか心配だって言ってるの！」
「Your happiness is really important to me, you know!」	「[player]の幸せはわたしにとっても大事なんだから！」	Your happiness is really important to me, you know!	「[player]の幸せはわたしにとっても大事なんだから！」
「And I know you're happy now, but I'd die at the thought of you becoming a NEET in a few years because you're not used to the real world!」	「今は楽しくやっているみたいだけど、数年後世間に馴染めずニートになっている姿を想像するだけでわたしは死んじゃいそう！」	And I know you're happy now, but I'd die at the thought of you becoming a NEET in a few years because you're not used to the real world!	「今は楽しくやってるみたいだけど、数年後世間に馴染めずニートになってる姿を想像するだけで、わたし、死んじゃいそう！」
「You trust me, right?」	「ちゃんと言うこと聞いてくれる？」	You trust me, right?	「ちゃんと言うこと聞いてくれる？」
「Don't make me keep worrying about you...」	「わたしを心配させないでよ……」	Don't make me keep worrying about you...	「心配させないでよ……」
「Alright, alright...」	「分かった、分かった……」	Alright, alright...	「わかった、わかった……」
「I'll look at a few clubs if it makes you happy.」	「そんなに言うなら、いくつか部活を見てみるよ」	I'll look at a few clubs if it makes you happy.	「そんなに言うなら、いくつか部活を見てみるよ」
「No promises, though.」	「約束は出来ないけどな」	No promises, though.	「約束はできないけど」
「Will you at least promise me you'll try a little?」	「少しは努力するって約束してくれる？」	Will you at least promise me you'll try a little?	「じゃあ、少しは努力するって約束してくれる？」
「Yeah, I guess I'll promise you that.」	「まあ、それくらいなら」	Yeah, I guess I'll promise you that.	「まあ、それくらいなら」
「Yaay~!」	「やった～！」	Yaay~!	「やった～！」
Why do I let myself get lectured by such a carefree girl?	どうして俺はこんな呑気な奴に説教されることを許しているんだ？	Why do I let myself get lectured by such a carefree girl?	どうして俺は、こんなノンキなやつに説教されているのだろうか？
More than that, I'm surprised I even let myself relent to her.	それどころか、こうやって従ってしまう事に驚きだ。	More than that, I'm surprised I even let myself relent to her.	それどころか驚くべきことに、こうやって従ってしまっている。
I guess seeing her worry so much about me makes me want to ease her mind at least a little bit - even if she does exaggerate everything inside of her head.	俺のことを過剰に心配している様子をみていると、少しくらいは安心させてやりたくなるのだろう――ちょっと脳内のことを大げさにとらえる癖があっても。	I guess seeing her worry so much about me makes me want to ease her mind at least a little bit - even if she does exaggerate everything inside of her head.	過剰に心配してくれてるのを見ているうちに、少しくらい安心させてやりたくなるのだろうか――脳内で物事を大げさにする癖がサヨリにあるとしても。
The school day is as ordinary as ever, and it's over before I know it.	普段通りの学校生活は、いつの間にか終わっていた。	The school day is as ordinary as ever, and it's over before I know it.	普段通りの授業が、気づかぬうちに終わっていく。
After I pack up my things, I stare blankly at the wall, looking for an ounce of motivation.	荷物をまとめた後、自分の中のやる気を探して壁をぼんやりと眺める。	After I pack up my things, I stare blankly at the wall, looking for an ounce of motivation.	帰り支度を終え、壁をぼんやりと眺めながら、自分のやる気を探ってみる。
「Clubs...」	「部活か……」	Clubs...	「部活か……」
Sayori wants me to check out some clubs.	サヨリは俺にいくつか見学して欲しいようだった。	Sayori wants me to check out some clubs.	サヨリは俺に部活見学をしてほしいようだった。
I guess I have no choice but to start with the anime club...	とりあえずアニメ研究会から始めてみるしかないかな……	I guess I have no choice but to start with the anime club...	とりあえず、アニメ研究会から始めてみるしかないかな……。
「Hellooo?」	「やっほー」	Hellooo?	「やっほー！」
「Sayori...?」	「サヨリ……？」	Sayori...?	「サヨリ……？」
Sayori must have come into the classroom while I was spacing out.	俺がぼんやりしている間にサヨリが教室に入って来たようだ。	Sayori must have come into the classroom while I was spacing out.	ぼんやりしているうちに、サヨリが教室にやってきた。
I look around and realize that I'm the only one left in the classroom.	俺は周りを見て教室で残った最後の一人だということに気付いた。	I look around and realize that I'm the only one left in the classroom.	どうやら、みんな教室を出てしまって、俺が最後の一人らしい。
「I thought I'd catch you coming out of the classroom, but I saw you just sitting here and spacing out, so I came in.」	「教室から出るところで声をかけようと思ってたけど、座ってぼーっとしていたから入ってきちゃった」	I thought I'd catch you coming out of the classroom, but I saw you just sitting here and spacing out, so I came in.	「教室の外で声をかけようと待ってたんだけど、座ってぼーっとしたままだったから、入ってきちゃった」
「Honestly, you're even worse than me sometimes... I'm impressed!」	「正直たまにわたしよりもだらけてるよね……感心！」	Honestly, you're even worse than me sometimes... I'm impressed!	「正直わたしよりダラけてる時あるよね……さっすが！」
「You don't need to wait up for me if it's going to make you late to your own club.」	「部活に遅れそうなら待たなくてもいいよ」	You don't need to wait up for me if it's going to make you late to your own club.	「待ってなくていいよ、お前が部活に遅れるだろ？」
「Well, I thought you might need some encouragement, so I thought, you know...」	「ちょっとした励ましが必要かなと思って、それに……」	Well, I thought you might need some encouragement, so I thought, you know...	「背中を押してあげなきゃなと思って！ それに……」
「Know what?」	「それに……？」	Know what?	「それに……？」
「Well, that you could come to my club!」	「わたしの部に来てもいいんだよ！」	Well, that you could come to my club!	「わたしの部に来てもいいんだよ！」
「Sayori...」	「お前なあ」	Sayori...	「……サヨリ……」
「Yeah??」	「うん？」	Yeah??	「何？」
「...There is no way I'm going to your club.」	「……俺がそこに行くはずがないだろ」	...There is no way I'm going to your club.	「……俺が、お前の部に、行くはずないだろ？」
「Eeeehhhhh?! Meanie!」	「えええええええ！？ ケチ！」	Eeeehhhhh?! Meanie!	「えええええええ！？何それヤダ、ケチ！」
Sayori is vice president of the Literature Club.	サヨリは文芸部の副部長をやっている。	Sayori is vice president of the Literature Club.	サヨリは、新設された文芸部の副部長だ。
Not that I was ever aware that she had any interest in literature.	文学に関心を持っていただなどかつて気づいたこともない。	Not that I was ever aware that she had any interest in literature.	まさか、彼女が文学に関心があったとは、俺も知らなかった。
In fact, I'm 99% sure she only did it because she thought it would be fun to help start a new club.	実際、部の新設の手伝いをするのが楽しそうだからというだけで参加したのだと99％確信している。	In fact, I'm 99% sure she only did it because she thought it would be fun to help start a new club.	部を新設するって楽しそう！というだけで参加したのだと99%思っているが。
Since she was the first one to show interest after the one who proposed the club, she inherited the title "Vice President".	部を提案した人の初めての賛同者だったから、『副部長』の座に就いたみたいだ。	Since she was the first one to show interest after the one who proposed the club, she inherited the title "Vice President".	サヨリは、発起人に最初に賛同したことで『副部長』の座に就けたらしい。
That said, my interest in literature is guaranteed to be even less.	とはいえ、文学になんて彼女より興味ないこと請け合いだ。	That said, my interest in literature is guaranteed to be even less.	とはいえ、そんな彼女以上に、俺は文学になんて一切興味がないのだ。
「Yeah. I'm going to the anime club.」	「そうか、じゃあアニメ部に行ってくる」	Yeah. I'm going to the anime club.	「ケチで悪かったな。じゃあ、アニメ研究会に行ってくるよ」
「C'mon, please?」	「お願いだから来てくれない？」	C'mon, please?	「どうしても、来てくれないの？」
「Why do you care so much, anyway?」	「どうしてそこまで必死なんだよ？」	Why do you care so much, anyway?	「何でそんな必死なんだよ？」
「Well...」	「ええと……」	Well...	「今度は……」
「I kind of told the club yesterday I would bring in a new member...」	「だって昨日みんなに新入部員連れてくるって言っちゃったし……」	I kind of told the club yesterday I would bring in a new member...	「だって昨日、みんなに新入部員連れてくるって言っちゃってさ……」
「And Natsuki made cupcakes and everything...」	「それにナツキちゃんがカップケーキとか色々作ってきてるし……」	And Natsuki made cupcakes and everything...	「ナツキちゃんなんか、カップケーキとかいろいろつくってきてるし……」
「Ehehe...」	「えへへ……」	Ehehe...	「だから……えへへ……」
「Don't make promises you can't keep!」	「守れない約束なんてするなよ！」	Don't make promises you can't keep!	「守れない約束なんてするなよ！」
I can't tell if Sayori is really that much of an airhead, or if she's so cunning as to have planned all of this out.	サヨリが本当にアホの子なのかそれとも全部計算づくなのかは分からない。	I can't tell if Sayori is really that much of an airhead, or if she's so cunning as to have planned all of this out.	サヨリが本当にアホの子なのか、それとも全部計算づくなのかはわからない。
I let out a long sigh.	俺は大きくため息をついた。	I let out a long sigh.	俺は大きくため息をついた。
「Fine... I'll stop by for a cupcake, okay?」	「分かった……カップケーキに免じて寄るとするよ」	Fine... I'll stop by for a cupcake, okay?	「わかった……カップケーキに免じて、寄ってやろう」
「Yes! Let's go~!」	「やった！ よし行こう～！」	Yes! Let's go~!	「やった～！ よし、行こっ！」
And thus, today marks the day I sold my soul for a cupcake.	というわけで、今日は俺がカップケーキに魂を売った日だと記録されるだろう。	And thus, today marks the day I sold my soul for a cupcake.	というわけで、本日この日は、俺がカップケーキに魂を売った日として歴史に刻まれるだろう。
I dejectedly follow Sayori across the school and upstairs - a section of the school I rarely visit, being generally used for third-year classes and activities.	やれやれと思いながらサヨリの後について校舎をわたり階段を上っていく。着いたのは、学校の中でも普段は３年生の授業や活動で使用され、自分は滅多に行くことがない場所だった。	I dejectedly follow Sayori across the school and upstairs - a section of the school I rarely visit.	やれやれと思いながら、サヨリの後について校舎をわたり、階段を上がっていく――着いたのは、学校の中でも滅多に足を踏み入れない場所だった。
Sayori, full of energy, swings open the classroom door.	サヨリは元気いっぱいに勢いよく教室のドアを開けた。	Sayori, full of energy, swings open the classroom door.	サヨリは元気いっぱい、勢いよく教室のドアを開けた。
「Everyone! The new member is here~!」	「みんな！ 新入部員がきたよ～！」	Everyone! The new member is here~!	「みんな！！ 新入部員がきたよ～！！！」
「I told you, don't call me a 'new member--'」	「おい、俺を新入部員って呼ぶなって――」	I told you, don't call me a 'new member--'	「おい待て、入るとは言ってな――」
Eh? I glance around the room.	えっ？ 教室をひと目見回した。	Eh? I glance around the room.	俺は、教室をひと目見回した。
「Welcome to the Literature Club. It's a pleasure meeting you.」	「ようこそ文芸部へ、お会いできて嬉しいです」	Welcome to the Literature Club. It's a pleasure meeting you.	「ようこそ文芸部へ、お会いできてうれしいです」
「Sayori always says nice things about you.」	「サヨリちゃんからあなたのことはよく聞いています」	Sayori always says nice things about you.	「サヨリちゃんからあなたのことはよく聞いています」
「Seriously? You brought a boy?」	「正気？ 男子連れて来たわけ？」	Seriously? You brought a boy?	「マジ？ 男子連れて来たわけ？」
「Way to kill the atmosphere.」	「雰囲気ぶち壊しじゃない」	Way to kill the atmosphere.	「雰囲気ぶち壊しじゃない」
「Ah, [player]! What a nice surprise!」	「あ、[player]君！ よく来てくれたわね！」	Ah, [player]! What a nice surprise!	「あ、[player]君！よく来てくれたわね！」
「Welcome to the club!」	「ようこそ！ 文芸部へ！」	Welcome to the club!	「ようこそ！ 文芸部へ！」
「...」	「……」	...	「……」
All words escape me in this situation.	つい言葉を失ってしまった。	All words escape me in this situation.	つい言葉を失ってしまった。
This club...	この部活は……	This club...	「この部活は……」
<i>...is full of incredibly cute girls!!</i>	<i>最高にかわいい子だらけじゃないか！</i>	<i>...is full of incredibly cute girls!!</i>	<i>……めちゃくちゃかわいい子だらけじゃないか！</i>
「What are you looking at?」	「あんたどこを見てんのよ？」	What are you looking at?	「ちょっとアンタ！ どこ見てんのよ？」
「If you want to say something, say it.」	「言いたいことがあるなら言いなさいよ」	If you want to say something, say it.	「言いたいことがあるなら言いなさいよ」
「S-Sorry...」	「ご、ごめん」	S-Sorry...	「ご、ごめん」
「Natsuki...」	「ナツキちゃん……」	Natsuki...	「ナツキ……」
「Hmph.」	「ふん」	Hmph.	「ふん」
The girl with the sour attitude, whose name is apparently Natsuki, is one I don't recognize.	なんだか当たりの強いこの女の子は初めて見る子だ。ナツキというらしい。	The girl with the sour attitude, whose name is apparently Natsuki, is one I don't recognize.	この、何だか当たりの強い女の子は初めて見る子だ。ナツキというらしい。
Her small figure makes me think she's probably a first-year.	小さい容姿からして１年生だろうか。	Her small figure makes her look like a first-year student.	小柄な背丈から、1年生のように見える。
She is also the one who made cupcakes, according to Sayori.	サヨリの話だとカップケーキを作ったのは彼女のようだ。	She is also the one who made cupcakes, according to Sayori.	サヨリによると、カップケーキをつくったのは彼女だそうだ。
「You can just ignore her when she gets moody~」	「不機嫌な時は放っておいていいよ～」	You can just ignore her when she gets moody~	「あの子、機嫌悪いときがあるけど、放っておいていいよ～」
Sayori says that quietly into my ear, then turns back toward the other girls.	サヨリはそう俺に耳打ちし、みんなの方へ向き直した。	Sayori says that quietly into my ear, then turns back toward the other girls.	サヨリはそう俺に耳打ちし、みんなの方へ顔を戻した。
「Anyway! This is Natsuki, always full of energy.」	「とにかくこの子がナツキちゃん、いつも元気いっぱいだよ！」	Anyway! This is Natsuki, always full of energy.	「とにかくこの子がナツキちゃん、いつも元気いっぱいだよ！」
「And this is Yuri, the smartest in the club!」	「それでこっちがユリちゃん、この部で一番の秀才なの！」	And this is Yuri, the smartest in the club!	「それでこっちがユリちゃん、この部で一番の秀才なの！」
「D-Don't say things like that...」	「そ、そんな風に言わないでください……」	D-Don't say things like that...	「そ、そんな風に言わないでください……」
Yuri, who appears comparably more mature and timid, seems to have a hard time keeping up with people like Sayori and Natsuki.	他の子に比べやや大人っぽく、また臆病そうなこの子はユリというらしい。サヨリやナツキのようなタイプと一緒にやっていくのに苦労していそうだ。	Yuri, who appears comparably more mature and timid, seems to have a hard time keeping up with people like Sayori and Natsuki.	他の子に比べて大人っぽく、臆病そうにも見えるこの子はユリというらしい。サヨリやナツキのようなタイプと一緒にやっていくのは、さぞ大変だろう。
「Ah... Well, it's nice to meet both of you.」	「ええと、二人ともよろしく」	Ah... Well, it's nice to meet both of you.	「ええと、二人ともよろしく」
「And it sounds like you already know Monika, is that right?」	「それと聞いた感じ、モニカとはもう知り合いなの？」	And it sounds like you already know Monika, is that right?	「それと、聞いた感じ、モニカとはもう知り合いなの？」
「That's right.」	「ええ」	That's right.	「ああ」
「It's great to see you again, [player].」	「また会えて嬉しいわ、[player]君」	It's great to see you again, [player].	「また会えてうれしいわ、[player]君」
Monika smiles sweetly.	モニカは優しくほほ笑む。	Monika smiles sweetly.	モニカは優しく微笑む。
We do know each other - well, we rarely talked, but we were in the same class last year.	俺たちは去年同じクラスだったから、お互いのことは知っている。とはいえ滅多に話さないが。	We do know each other - well, we rarely talked, but we were in the same class last year.	去年同じクラスだったから、お互いのことは知っている。とはいえ滅多に話さなかったが。
Monika was probably the most popular girl in class - smart, beautiful, athletic.	モニカは容姿端麗・文武両道。おそらくクラスで一番人気だった女の子だ。	Monika was probably the most popular girl in class - smart, beautiful, athletic.	モニカは容姿端麗・文武両道。おそらくクラスで一番人気だった女の子だ。
Basically, completely out of my league.	要するに、高嶺の花だ。	Basically, completely out of my league.	要するに、高嶺の花だ。
So, having her smile at me so genuinely feels a little...	だから彼女に微笑まれて、なんというか……	So, having her smile at me so genuinely feels a little...	だから彼女に微笑まれると、何と言うか……
「Y-You too, Monika.」	「こ、こっちこそ」	Y-You too, Monika.	「こ、こっちこそ」
「Come sit down, [player]! We made room for you at the table, so you can sit next to me or Monika.」	「こっちに座って、[player]！ スペース作ったから、わたしかモニカちゃんの隣が空いてるよ」	Come sit down, [player]! We made room for you at the table, so you can sit next to me or Monika.	「さ、こっちに座って、[player]！わたしかモニカちゃんの隣が空いてるよ！」
「I'll get the cupcakes~」	「カップケーキ持ってくるね～」	I'll get the cupcakes~	「カップケーキ持ってくるね～」
「Hey! I made them, I'll get them!」	「ちょっと！ わたしが作ったんだから、わたしが持ってくるわよ」	Hey! I made them, I'll get them!	「ちょっと！ アタシがつくったんだから、アタシが持っていくの！」
「Sorry, I got a little too excited~」	「ごめんごめん、ちょっと楽しみすぎて～」	Sorry, I got a little too excited~	「ごめんごめん、ちょっと楽しみすぎて～」
「Then, how about I make some tea as well?」	「それでは、私はお茶を淹れますね」	Then, how about I make some tea as well?	「それでは、私はお茶を淹れますね」
The girls have a few desks arranged to form a table.	机が並べられて作られたテーブルがある。	The girls have a few desks arranged to form a table.	机を並べてつくったテーブルがある。
As Sayori mentioned, it's been widened so that there is one space next to Monika and one space next to Sayori.	サヨリの言った通り、モニカとサヨリの隣が一つずつ空いている。	As Sayori mentioned, it's been widened so that there is one space next to Monika and one space next to Sayori.	サヨリの言った通り、モニカとサヨリの隣が一つずつ空いている。
Natsuki and Yuri walk over to the corner of the room, where Natsuki grabs a wrapped tray and Yuri opens the closet.	ナツキとユリは教室の隅に向かった。ナツキはホイルで包まれたトレイを取り、ユリはクローゼットを開けている。	Natsuki and Yuri walk over to the corner of the room, where Natsuki grabs a wrapped tray and Yuri opens the closet.	ナツキとユリは教室の隅に向かった。ナツキはホイルで包まれたトレイを取り、ユリは物置を開けている。
Still feeling awkward, I take a seat next to Sayori.	未だに気まずさを感じつつも、俺はサヨリの隣の席に座る。	Still feeling awkward, I take a seat next to Sayori.	居心地の悪さを感じつつも、俺はサヨリの隣の席に座る。
Natsuki proudly marches back to the table, tray in hand.	ナツキはトレイを持って、誇らしげにテーブルへやって来た。	Natsuki proudly marches back to the table, tray in hand.	トレイを持ったナツキが、誇らしげにテーブルへやって来た。
「Okaaay, are you ready?」	「準備はいいかしら？」	Okaaay, are you ready?	「準備はいいかしら？」
「...Ta-daa!」	「じゃじゃーん！」	...Ta-daa!	「じゃじゃーん！」
「Uwooooah!」	「うっわああぁぁ～～っ！！」	Uwooooah!	「うっわああぁぁ～～っ！！」
Natsuki lifts the foil off the tray to reveal a dozen white, fluffy cupcakes decorated to look like little cats.	ナツキがアルミホイルをめくると白くてかわいい、子猫のようなカップケーキが12個顔を見せた。	Natsuki lifts the foil off the tray to reveal a dozen white, fluffy cupcakes decorated to look like little cats.	ナツキがアルミホイルをめくると、白くてかわいい子猫のような12個のカップケーキが顔を見せた。
The whiskers are drawn with icing, and little pieces of chocolate were used to make ears.	猫のひげはアイシングで、耳は少量のチョコで作られているようだ。	The whiskers are drawn with icing, and little pieces of chocolate were used to make ears.	猫のひげはアイシングで、耳は少量のチョコでつくられているようだ。
「So cuuuute~!」	「すっごくかわいいぃ～！」	So cuuuute~!	「すっごくかわいいぃ～！」
「I had no idea you were so good at baking, Natsuki!」	「ナツキがお菓子作りが得意だったなんてね」	I had no idea you were so good at baking, Natsuki!	「ナツキがお菓子づくりが得意だったなんてね」
「Ehehe. Well, you know.」	「えへへ。まあ、ね」	Ehehe. Well, you know.	「えへへ。まあ、ね」
「Just hurry and take one!」	「早く食べてよね！」	Just hurry and take one!	「早く食べてよね！」
Sayori grabs one first, then Monika. I follow.	サヨリが一つ手に取り、モニカと俺も続いた。	Sayori grabs one first, then Monika. I follow.	サヨリが一つ手に取り、モニカと俺も続いた。
「It's delicious!」	「おいしい！」	It's delicious!	「おいしい！」
Sayori talks with her mouth full and has already managed to get icing on her face.	サヨリはカップケーキで口をいっぱいにして話し、顔にアイシングがついてしまっている。	Sayori talks with her mouth full and has already managed to get icing on her face.	サヨリはカップケーキを頬張って言い、顔にはアイシングがついてしまっている。
I turn the cupcake around in my fingers, looking for the best angle to take a bite.	俺は食べやすい向きを探してカップケーキを回す。	I turn the cupcake around in my fingers, looking for the best angle to take a bite.	俺は食べやすい向きを探してカップケーキを回す。
Natsuki is quiet.	ナツキは黙りこくっている。	Natsuki is quiet.	ナツキは黙りこくっている。
I can't help but notice her sneaking glances in my direction.	俺に対する彼女の無言の視線を気にせずにはいられない。	I can't help but notice her sneaking glances in my direction.	俺に対する彼女の無言の視線を気にせずにはいられない。
Is she waiting for me to take a bite?	俺が食べるのを待っているのか？	Is she waiting for me to take a bite?	俺が食べるのを待っているのか？
I finally bite down.	ついにカップケーキを口に運ぶ。	I finally bite down.	ついにカップケーキを口に運ぶ。
The icing is sweet and full of flavor - I wonder if she made it herself.	アイシングは甘く風味豊かで――これ、本当にナツキが作ったのか？	The icing is sweet and full of flavor - I wonder if she made it herself.	アイシングは甘く風味豊かで――これ、本当にナツキがつくったのか？
「This is really good.」	「これ、すごく美味いぞ」	This is really good.	「これ、すごく美味い」
「Thank you, Natsuki.」	「ありがとう、ナツキ」	Thank you, Natsuki.	「ありがとう、ナツキ」
「W-Why are you thanking me? It's not like I...!」	「な、なに言ってるの？ 別に……！」	W-Why are you thanking me? It's not like I...!	「な、なに言ってるの？ べ、別に……！」
<i>(Haven't I heard this somewhere before...?)</i>	<i>（どこかで聞いたことあるような……？）</i>	<i>(Haven't I heard this somewhere before...?)</i>	<i>（何か聞いたことあるぞ……？）</i>
「...Made them for you or anything.」	「……別にあんたのために作ったわけじゃないし」	...Made them for you or anything.	「……別にアンタのためにつくったんじゃないんだからね……」
「Eh? I thought you technically did. Sayori said--」	「え？ 実際そうなんじゃないのか？ サヨリもそう言ってたし――」	Eh? I thought you technically did. Sayori said--	「え？ でも、実際俺のためだろ？ サヨリもそう言ってたし――」
「Well, maybe!」	「まあ、そうね！」	Well, maybe!	「まあ、そうね！」
「But not for, y-you know, <i>you!</i> Dummy...」	「で、でも、あくまで新入部員のためで、<i>あんた個人</i>のためじゃないんだからね！ バカ……」	But not for, y-you know, <i>you!</i> Dummy...	「で、でも、あくまで新入部員のためで、別に<i>アンタ</i>のためじゃないんだからね！ バカ……」
「Alright, alright...」	「分かった、分かった……」	Alright, alright...	「わかった、わかった……」
I give up on Natsuki's weird logic and dismiss the conversation.	ナツキの変な論理には降参して、会話を終わらせる。	I give up on Natsuki's weird logic and dismiss the conversation.	ナツキの変な論理に降参して、会話を終わらせる。
Yuri returns to the table, carrying a tea set.	ユリはティーセットを抱えテーブルに戻ってくる。	Yuri returns to the table, carrying a tea set.	ユリはティーセットを抱えてテーブルに戻ってくる。
She carefully places a teacup in front of each of us before setting down the teapot next to the cupcake tray.	彼女は慎重にみんなの前にティーカップを置き、カップケーキのあるトレイの隣にティーポットを置いた。	She carefully places a teacup in front of each of us before setting down the teapot next to the cupcake tray.	彼女は慎重にみんなの前にティーカップを置き、カップケーキのあるトレイの隣にティーポットを置いた。
「You keep a whole tea set in this classroom?」	「教室にティーセットを置いてるのか？」	You keep a whole tea set in this classroom?	「教室にティーセットを置いてるのか？」
「Don't worry, the teachers gave us permission.」	「大丈夫です、ちゃんと先生方の許可はいただいてますから」	Don't worry, the teachers gave us permission.	「大丈夫です、ちゃんと先生方の許可はいただいてますから」
