「Hi again, [player]!」	「[player]君、今日も来たのね！」	Hi again, [player]!	「やっほー、[player]君！」
「And you almost set your house on fire once.」	「それに家が火事寸前になったこともあったし」	And you almost set your house on fire once.	「それに家が火事寸前になったこともあったし」
「Is that so... Ehehe...」	「あ、それは……えへへ……」	Is that so... Ehehe...	「あ、それは……えへへ……」
「You two are really good friends, aren't you?」	「サヨリちゃんたち、本当に仲が良いんですね」	You two are really good friends, aren't you?	「サヨリちゃんたち、本当に仲が良いんですね」
「I might be a little jealous...」	「少し羨ましいです……」	I might be a little jealous...	「少し羨ましいです……」
「How come? You and [player] can become good friends too!」	「そうかな？ ユリちゃんと[player]だってきっとステキな友達になれるよ！」	How come? You and [player] can become good friends too!	「そうかな？ ユリちゃんと[player]だってきっとステキな友達になれるよ！」
「U-Um...」	「え、えっと……」	U-Um...	「その……」
「S-Sayori--」	「サ、サヨリ……」	S-Sayori--	「サ、サヨリ……」
「Hmm?」	「んー？」	Hmm?	「うーん？」
「...」	「……」	...	「……」
As usual, Sayori seems oblivious to the weird situation she just put me into.	いつものことだが、俺をおかしな状況に巻き込んでいることにサヨリは気付いていないようだ。	As usual, Sayori seems oblivious to the weird situation she just put me into.	いつものことだが、俺をおかしな状況に巻き込んでいることにサヨリは気付いていないようだ。
「Oh, oh! Yuri even brought you something today, you know~」	「そうだ！ ユリちゃんなんて[player]のために今日何か持ってきてくれたみたいだし～」	Oh, oh! Yuri even brought you something today, you know~	「そうだ！ ユリちゃんは[player]のために今日何か持ってきてくれたみたいだし～」
「W-Wait! Sayori...」	「ま、待って！ サヨリちゃ……」	W-Wait! Sayori...	「ま、待って！ サヨリちゃ……」
「Eh? Me?」	「え？ 俺？」	Eh? Me?	「え？ 俺？」
「Um... Not really...」	「えっと……そういうものでは……」	Um... Not really...	「えっと……そういうものでは……」
「Don't be shy~」	「恥ずかしがらなくていいのに～」	Don't be shy~	「恥ずかしがらなくていいのに～」
「It's really nothing...」	「本当そういうものではなくて……」	It's really nothing...	「本当そういうものではなくて……」
「What is it?」	「なになに？」	What is it?	「なになに？」
「N-Never mind!」	「き、気にしないでください！」	N-Never mind!	「き、気にしないでください！」
「Sayori made it sound like a big deal when it's really not...」	「大したものではないのに、サヨリちゃん大げさ過ぎます……」	Sayori made it sound like a big deal when it's really not...	「大したものではないのに、サヨリちゃんたら、大げさ過ぎます……」
「Uuuuh, what do I do...」	「うううう、どうしよう……」	Uuuuh, what do I do...	「うううう、どうしよう……」
「Eh? I'm sorry, Yuri, I wasn't thinking...」	「あれ？ ごめんねユリちゃん、わたし考えてなかった……」	Eh? I'm sorry, Yuri, I wasn't thinking...	「あれ？ ごめんねユリちゃん、わたし考えてなかった……」
I guess that means it's up to me to rescue this situation...	つまり、この状況をどう切り抜けるかは俺次第なのか……	I guess that means it's up to me to rescue this situation...	つまり、この状況をどう切り抜けるかは俺次第なのか……
「Hey, don't worry about it.」	「まあまあ、そんなに気にしなくていいよ」	Hey, don't worry about it.	「まあまあ、そんなに気にしなくていいよ」
「First of all, I wasn't expecting anything in the first place.」	「そもそも俺は、何かを期待してた訳じゃないし」	First of all, I wasn't expecting anything in the first place.	「別に何かを期待してたわけじゃないし」
「So any nice gesture from you is a pleasant surprise.」	「ユリが親切にしてくれること自体が嬉しいサプライズだよ」	So any nice gesture from you is a pleasant surprise.	「ユリが親切にしてくれること自体がうれしいサプライズだよ」
「It'll make me happy no matter what.」	「どんなものでも俺は嬉しいよ」	It'll make me happy no matter what.	「どんなものでも俺はうれしいよ」
「I-Is that so...」	「そ、そうでしょうか……」	I-Is that so...	「そ、そうでしょうか……」
「Yeah. I won't make it a big deal if you don't want it to be.」	「まあな。もしお前がそう思われたくないなら大げさには扱わない」	Yeah. I won't make it a big deal if you don't want it to be.	「まあな。もしそう思われたくないなら、大げさには扱わない」
「Alright...」	「分かりました……」	Alright...	「わかった……」
「Well, here.」	「それでは、これを」	Well, here.	「それでは、これを」
Yuri reaches into her bag and pulls out a book.	ユリはカバンから本を一冊取り出した。	Yuri reaches into her bag and pulls out a book.	ユリはカバンから本を一冊取り出した。
「I didn't want you to feel left out...」	「仲間外れだと感じてほしくなくて……」	I didn't want you to feel left out...	「仲間外れだと感じてほしくなくて……」
「So I picked out a book that I thought you might enjoy.」	「[player]さんが楽しめそうな本を選んでみました」	So I picked out a book that I thought you might enjoy.	「[player]さんが楽しめそうな本を選んでみました」
「It's a short read, so it should keep your attention, even if you don't usually read.」	「短編なので、普段本を読まない[player]さんでも集中力が途切れにくいと思います」	It's a short read, so it should keep your attention, even if you don't usually read.	「短編なので、普段本を読まない[player]さんでも集中力が途切れにくいと思います」
「And we could, you know...」	「それに、ほら、もしできたら……」	And we could, you know...	「それで、その、もしできたら……」
「Discuss it...if you wanted...」	「話し合ったり……できればと……」	Discuss it...if you wanted...	「話し合ったり……できればと……」
Th-This is...	こ、これは……	Th-This is...	こ、これは……
How is this girl accidentally being so cute?	なんだか急にこいつが可愛く見えてきたぞ？	How is this girl accidentally being so cute?	なんだか急にこの子が、かわいく見えてきたぞ？
She even picked out a book she thinks I'll like, despite me not reading much...	それに、読書に慣れてない俺が気に入りそうな本まで見繕ってくれて……	She even picked out a book she thinks I'll like, despite me not reading much...	読書に慣れてない俺が気に入りそうな本まで見繕ってくれて……
「Yuri, thank you! I'll definitely read this!」	「ユリ、ありがとう！ 絶対読むよ！」	Yuri, thank you! I'll definitely read this!	「ユリ、ありがとう！ 絶対読むよ！」
I enthusiastically take the book.	俺は心を込めて本を受け取った。	I enthusiastically take the book.	俺は心を込めて本を受け取った。
「Phew...」	「ほっ……」	Phew...	「ふぅ……」
「Well, you can read it at your own pace.」	「ご自身のペースで読み進めてくださいね」	Well, you can read it at your own pace.	「ご自身のペースで読み進めてくださいね」
「I look forward to hearing what you think.」	「あなたの感想、楽しみにしてます」	I look forward to hearing what you think.	「あなたの感想、楽しみにしてます」
Now that everyone's settled in, I expected Monika to kick off some scheduled activities for the club.	やっとみんながひと段落着いたところで、俺はモニカからの部活らしい指示があるのを待った。	Now that everyone's settled in, I expected Monika to kick off some scheduled activities for the club.	やっとみんながひと段落着いたところで、俺はモニカからの部活らしい指示があるのを待った。
But that doesn't seem to be the case.	だがそういう訳でもないようだ。	But that doesn't seem to be the case.	だがそういうわけでもないようだ。
Sayori and Monika are having a cheery conversation in the corner.	サヨリとモニカは部屋の隅でワイワイおしゃべりをしているし。	Sayori and Monika are having a cheery conversation in the corner.	サヨリとモニカは部屋の隅でワイワイおしゃべりしているし。
Yuri's face is already buried in a book.	ユリは既に本に顔を埋めている。	Yuri's face is already buried in a book.	ユリはすでに読書に夢中だ。
I can't help but notice her intense expression, like she was waiting for this chance.	この瞬間を待っていたかのような彼女の真剣な表情に、つい目が行ってしまう。	I can't help but notice her intense expression, like she was waiting for this chance.	この瞬間を待ち焦がれていたかのような彼女の真剣な表情に、つい目が行ってしまう。
Meanwhile, Natsuki is rummaging around in the closet.	一方、ナツキはクローゼットを物色している。	Meanwhile, Natsuki is rummaging around in the closet.	一方、ナツキは物置を物色している。
「By the way, did you remember to write a poem last night?」	「ところで、昨晩ちゃんと忘れずに詩を書いてきたかしら？」	By the way, did you remember to write a poem last night?	「ところで、昨晩ちゃんと忘れずに詩を書いてきたかしら？」
「Y-Yeah...」	「あ、ああ」	Y-Yeah...	「あ、ああ、うん」
My relaxation ends.	身が引き締まる。	My relaxation ends.	身が引き締まる。
I can't believe I agreed to do something so embarrassing.	こんな恥ずかしいことに、なんで俺は賛成してしまったんだ。	I can't believe I agreed to do something so embarrassing.	こんな恥ずかしいことに、どうして俺は賛成してしまったんだ。
I couldn't really find much inspiration, since I've never really done this before.	今までこんなことをやった経験がないからか、それといったインスピレーションも沸かなかった。	I couldn't really find much inspiration, since I've never really done this before.	今までこんなことをやった経験がないからか、それといったインスピレーションも湧かなかった。
「Well, now that everyone's ready, why don't you find someone to share with?」	「さて、みんなも準備できたみたいだし、詩を見せる相手を見つけましょう！」	Well, now that everyone's ready, why don't you find someone to share with?	「さて、みんなも準備できたみたいだし、詩を見せる相手を見つけましょう！」
「I can't wait~!」	「もう待ちきれないよ～！」	I can't wait~!	「楽しみ～！」
Sayori and Monika enthusiastically pull out their poems.	サヨリとモニカは、張り切りながら詩を取り出している。	Sayori and Monika enthusiastically pull out their poems.	サヨリとモニカは、張り切りながら詩を取り出している。
Sayori's is on a wrinkled sheet of loose leaf torn from a spiral notebook.	サヨリの詩はリングノートから破いた一枚の紙に書かれているようだ。	Sayori's is on a wrinkled sheet of loose leaf torn from a spiral notebook.	サヨリの詩はリングノートから破いた一枚の紙に書かれているようだ。
On the other hand, Monika wrote hers in a composition notebook.	一方モニカの詩は、作文用のノートに書いてある。	On the other hand, Monika wrote hers in a composition notebook.	一方モニカの詩は、作文用のノートに書いてある。
I can already see Monika's pristine handwriting from where I sit.	俺の席からでも、モニカの純朴な字が見て取れる。	I can already see Monika's pristine handwriting from where I sit.	俺の席からでも、モニカの純朴な字が見て取れる。
Natsuki and Yuri reluctantly comply as well, reaching into their bags.	ナツキとユリも、しぶしぶバッグから取り出して応じる。	Natsuki and Yuri reluctantly comply as well, reaching into their bags.	ナツキとユリも、しぶしぶバッグから取り出して応じる。
I do the same, myself.	同じように、俺もそうした。	I do the same, myself.	同じように、俺もそうした。
「Phew...」	「ふう……」	Phew...	「ふぅ……」
I guess that's everyone.	これで全員かな。	I guess that's everyone.	これで全員かな。
I glance around the room.	部屋を見回してみる。	I glance around the room.	部屋を見回してみる。
That was a little more stressful than I anticipated.	思ったよりプレッシャーが大きかった。	That was a little more stressful than I anticipated.	思ったよりプレッシャーが大きかった。
It's as if everyone is judging me for my mediocre writing abilities...	まるで俺の文章力の平凡さを査定されているかのような……	It's as if everyone is judging me for my mediocre writing abilities...	まるで俺の文章力の平凡さを査定されているかのような……
Even if they're just being nice, there's no way my poems can stand up to theirs.	良いように言ってくれてたとしても、俺の詩がみんなの出来に届くはずがないのだ。	Even if they're just being nice, there's no way my poems can stand up to theirs.	良いように言ってくれてたとしても、俺の詩がみんなの出来に届くはずがないのだ。
This is a literature club, after all.	なんてったって文芸部なのだから。	This is a literature club, after all.	なんてったって文芸部なのだから。
I sigh.	ため息をつく。	I sigh.	ため息をつく。
I guess that's what I ended up getting myself into.	俺が首を突っ込んだのはこういう場所だったようだ。	I guess that's what I ended up getting myself into.	とんでもないところに首を突っ込んでしまったようだ。
Across the room, Sayori and Monika are happily chatting.	部屋の向こうでは、サヨリとモニカが楽しそうにおしゃべりをしている。	Across the room, Sayori and Monika are happily chatting.	向こうの方で、サヨリとモニカが楽しそうにおしゃべりをしている。
My eyes land on Yuri and Natsuki.	ユリとナツキに目をやる。	My eyes land on Yuri and Natsuki.	ユリとナツキに目をやる。
They gingerly exchange sheets of paper, sharing their respective poems.	彼女らはそろそろと紙を交換しあい、それぞれの詩を見せている。	They gingerly exchange sheets of paper, sharing their respective poems.	彼女らはそろそろと紙を交換し合い、それぞれの詩を見せ合っている。
As they read in tandem, I watch each of their expressions change.	並んで詩を読みながら、二人の表情が変わっていく様子が見て取れる。	As they read in tandem, I watch each of their expressions change.	並んで詩を読みながら、二人の表情が変わっていく様子が見て取れる。
Natsuki's eyebrows furrow in frustration.	ナツキは苛立ったように眉間にしわを寄せる。	Natsuki's eyebrows furrow in frustration.	ナツキは苛立ったように眉間にしわを寄せる。
Meanwhile, Yuri smiles sadly.	一方、ユリは悲しそうに微笑む。	Meanwhile, Yuri smiles sadly.	一方、ユリは悲しそうに微笑む。
「<i>(What's with this language...?)</i>」	<i>（何なのよこの言い回し……？）</i>	<i>(What's with this language...?)</i>	<i>（何なのよ、この言い回し……！？）</i>
「Eh?」	「えっ？」	Eh?	「えっ？」
「Um...did you say something?」	「あの……何か言いましたか？」	Um...did you say something?	「あの……何か言いましたか？」
「Oh, it's nothing.」	「いや、何でもないわ」	Oh, it's nothing.	「いや、何でもないわ」
Natsuki dismissively returns the poem to the desk with one hand.	ナツキは持っていた詩を素っ気なく片手で机の上に置いた。	Natsuki dismissively returns the poem to the desk with one hand.	ナツキは持っていた詩を素っ気なく片手で机の上に置いた。
「I guess you could say it's fancy.」	「しゃれた感じなんじゃない」	I guess you could say it's fancy.	「しゃれた感じなんじゃない」
「Ah-- Thanks...」	「あ、ありがとうございます……」	Ah-- Thanks...	「あ、ありがとうございます……」
「Yours is...cute...」	「あなたのは……かわいいですね……」	Yours is...cute...	「あなたのは……かわいいですね……」
「Cute?」	「かわいい？」	Cute?	「かわいい？」
「Did you completely miss the symbolism or something?」	「まさか何を象徴しているのか何にも気づかなかったってわけ？」	Did you completely miss the symbolism or something?	「まさか、何を象徴してるのかまったく気づかなかったってわけ？」
「It's clearly about the feeling of giving up.」	「どう見たって諦めの心情についてでしょ」	It's clearly about the feeling of giving up.	「どう見たって諦めの心情についてでしょ」
「How can that be cute?」	「どうしたらかわいく見えるのよ？」	How can that be cute?	「どうしたらかわいく見えるのよ？」
「I-I know that!」	「わ、分かってます！」	I-I know that!	「わ、わかってます！」
「I just meant...」	「ただ私が言いたいのは……」	I just meant...	「ただ私が言いたいのは……」
「The language, I guess...」	「その、言葉選びとか……」	The language, I guess...	「その、言葉選びとか……」
「I was trying to say something nice...」	「気の利いたことを言えたら良かったんですけど……」	I was trying to say something nice...	「気の利いたことを言えたら良かったんですけど……」
「Eh?」	「はあ？」	Eh?	「はっ？」
「You mean you have to try that hard to come up with something nice to say?」	「つまり気の利いたことを言うのにそんなに苦労する作品だっていうのね」	You mean you have to try that hard to come up with something nice to say?	「つまり気の利いたことを言うのにそんなに苦労する作品だっていうのね」
「Thanks, but it really didn't come out nice at all!」	「結構結構、でも気なんて全然利いてなかったわ！」	Thanks, but it really didn't come out nice at all!	「結構結構、でも気なんて全然利いてなかったわ！」
「Um...」	「えっと……」	Um...	「その……」
「Well, I do have a couple suggestions...」	「その、いくつか提案したいことがあるのですが……」	Well, I do have a couple suggestions...	「その、いくつか提案したいことがあるのですが……」
「Hmph.」	「ふん」	Hmph.	「ふん」
「If I was looking for suggestions, I would have asked someone who actually liked it.」	「詩を気に入ってくれた人の提案なら、聞いてあげないこともなかったけどね」	If I was looking for suggestions, I would have asked someone who actually liked it.	「詩を気に入ってくれた人の提案なら、聞いてあげないこともなかったけどね」
「Which people <i>did</i>, by the way.」	「実際そういう人は<i>ちゃんと</i>いるんだし」	Which people <i>did</i>, by the way.	「実際そういう人は<i>ちゃんと</i>いるんだし」
「Sayori liked it.」	「サヨリとか」	Sayori liked it.	「サヨリとか」
「And [player] did, too!」	「それに[player]だって！」	And [player] did, too!	「それに[player]だって！」
「So based on that, I'll gladly give you some suggestions of my own.」	「それに、そもそもわたしからも是非提案したいことがあるわ」	So based on that, I'll gladly give you some suggestions of my own.	「それに、そもそもアタシからもぜひ提案したいことがあるわ」
「First of all--」	「まずねえ……」	First of all--	「まずねえ……」
「Excuse me...」	「すみません、あの……」	Excuse me...	「すみません、あの……」
「I appreciate the offer, but I've spent a long time establishing my writing style.」	「折角なのですが、この文体を確立するために私は長い時間をかけてきたんです」	I appreciate the offer, but I've spent a long time establishing my writing style.	「折角なのですが、この文体を確立するために私は長い時間をかけてきたんです」
「I don't expect it to change anytime soon, unless of course I come across something particularly inspiring.」	「心を突き動かす何かに出会わない限りは、しばらくこのまま変わらないと思います」	I don't expect it to change anytime soon, unless of course I come across something particularly inspiring.	「心を突き動かす何かに出会わない限りは、しばらくこのまま変わらないと思います」
「Which I haven't yet.」	「そういうものにはまだ出会えていないのですけどね」	Which I haven't yet.	「そういうものにはまだ出会えていないのですけどね」
「Nn...!」	「なっ……！」	Nn...!	「なっ……！」
「And [player] liked my poem too, you know.」	「それに[player]さんは私の詩も気に入って下さったみたいですよ」	And [player] liked my poem too, you know.	「それに[player]さんは私の詩も気に入ってくださったみたいですよ」
「He even told me he was impressed by it.」	「感動したとまで言ってくださいましたし」	He even told me he was impressed by it.	「感動したとまで言ってくださいましたし」
Natsuki suddenly stands up.	ナツキは突然席を立った。	Natsuki suddenly stands up.	ナツキは突然席を立った。
「Oh?」	「なによ？」	Oh?	「あら」
「I didn't realize you were so invested in trying to impress our new member, Yuri.」	「ユリってば新入部員とお近づきになりたくて必死だったなんて気がつかなかったわ」	I didn't realize you were so invested in trying to impress our new member, Yuri.	「ユリってば、新入部員とお近づきになりたくて必死だったなんて気がつかなかったわ」
「E-Eh?!」	「え、ええっ！？」	E-Eh?!	「え、えっ！？」
「That's not what I...!」	「そういうわけでは……！」	That's not what I...!	「そういうわけでは……！」
「Uu...」	「うう……」	Uu...	「うう……」
「You...You're just...」	「あ、あなただって……」	You...You're just...	「あ、あなただって……」
Yuri stands up as well.	ユリも同じように席を立つ。	Yuri stands up as well.	ユリも同じように席を立つ。
「Maybe you're just jealous that [player] appreciates my advice more than he appreciated yours!」	「あなただって[player]さんがあなたより私のアドバイスを尊重したことに嫉妬してるのではないですか！？」	Maybe you're just jealous that [player] appreciates my advice more than he appreciated yours!	「あなただって[player]さんがあなたより私のアドバイスを尊重したことに嫉妬しているのではないですか！？」
「Huh! And how do you know he didn't appreciate <i>my</i> advice more?」	「はん！ で、どうやってわたしのアドバイスより有難がってるって分かるのよ？」	Huh! And how do you know he didn't appreciate <i>my</i> advice more?	「はん！ 何で<i>アタシの</i>アドバイスよりありがたがってるってわかるのよ？」
「Are you that full of yourself?」	「調子に乗りすぎなんじゃないの？」	Are you that full of yourself?	「調子に乗りすぎなんじゃない？」
「I...!」	「私は……！」	I...!	「……もしですよ！」
「No...」	「違う……」	No...	「いいえ……」
「If I was full of myself...」	「私が調子に乗っていたのなら……」	If I was full of myself...	「調子に乗っていたのなら……」
「...I would deliberately go out of my way to make everything I do overly cutesy!」	「私だってわざとらしくぶりっ子してますよ！」	...I would deliberately go out of my way to make everything I do overly cutesy!	「私だってわざとらしく、かわいこぶりっ子してますよ！」
「Uuuuuu...!」	「うううぐぐぐぐ……！」	Uuuuuu...!	「うぐぐぐぐ……！」
「U-Um!!」	「あの、えっと！！」	U-Um!!	「あの、えっと！！」
「Is everyone okay...?」	「みんな大丈夫……？」	Is everyone okay...?	「ね、落ち着いて……？」
「Well, you know what?!」	「じゃあ言うけどね！」	Well, you know what?!	「じゃあ言うけどね！」
「I wasn't the one whose boobs magically grew a size bigger as soon as [player] started showing up!!」	「[player]が入ってから突然胸をワンサイズ盛りだしたのはどっちよ？！」	I wasn't the one whose boobs magically grew a size bigger as soon as [player] started showing up!!	「[player]が入ってから突然胸をワンサイズ盛りだしたのはどこのどいつよ！？」
「N-Natsuki!!」	「な、ナツキちゃん！！」	N-Natsuki!!	「な、ナツキちゃん！！」
「Um, Natsuki, that's a little--」	「えっとナツキ、それはちょっと――」	Um, Natsuki, that's a little--	「えっとナツキ、それはちょっと――」
「This doesn't involve you!」	「部外者は黙ってて！」\n「部外者は黙っててください！」	This doesn't involve you!	「「部外者は黙ってて！」ください！」
「I-I don't like fighting, guys...!」	「け、ケンカはダメだよ、みんな……！」	I-I don't like fighting, guys...!	「ふ、二人とも、ケンカはダメだよ……！」
Suddenly, both girls turn towards me, as if they just noticed I was standing there.	突然二人は、俺がそこにいることに今気づいたようにこちらへ振り向いた。	Suddenly, both girls turn towards me, as if they just noticed I was standing there.	突然二人は、俺の存在に今気づいたかのようにこちらへ振り向いた。
「[player]...!」	「[player]さん……！」	[player]...!	「[player]さん……！」
「She-- She's just trying to make me look bad...!」	「こ、この子が私の印象を悪くしようとしてるだけなんです……！」	She-- She's just trying to make me look bad...!	「こ、この子が私の印象を悪くしようとしてるだけなんです……！」
「That's not true!」	「違うでしょ！」	That's not true!	「違うでしょ！」
「She started it!」	「そっちが始めたんでしょうが！」	She started it!	「そっちが始めたんでしょうが！」
「If she could get over herself and learn to appreciate that <i>simple</i> writing is more effective...」	「もしユリが偏屈な態度を改めて、素直な文が一番効果的だって受け入れていれば……」	If she could get over herself and learn to appreciate that <i>simple</i> writing is more effective...	「もしユリが偏屈な態度を改めて、<i>素直な</i>文が一番効果的だって受け入れていれば……」
「Then this wouldn't have happened in the first place!」	「最初からこんなことにはならなかったのよ！」	Then this wouldn't have happened in the first place!	「最初からこんなことにはならなかったのよ！」
「What's the point in making your poems all convoluted for no reason?」	「なんであんたはいつも意味もなくややこしい文章にしちゃうのよ」	What's the point in making your poems all convoluted for no reason?	「なんでアンタはいつも意味もなくややこしい文章にしちゃうのよ」
「The meaning should jump out at the reader, not force them to have to figure it out.」	「趣旨ってのは考察させるものじゃなくて、読者の元へ飛び込むようなものであるべきなの」	The meaning should jump out at the reader, not force them to have to figure it out.	「趣旨ってのは考察させるものじゃなくて、読者の元へ飛び込むようなものであるべきなの」
「Help me explain that to her, [player]!」	「[player]もユリに説明してあげて！」	Help me explain that to her, [player]!	「[player]もユリに説明してあげて！」
「W-Wait!」	「ま、待ってください！」	W-Wait!	「ま、待ってください！」
「There's a reason we have so many deep and expressive words in our language!」	「私たちの言葉に表現豊かで奥深いものが多いのには理由があるんですよ」	There's a reason we have so many deep and expressive words in our language!	「私たちの言葉に表現豊かで奥深いものが多いのには、理由があるんですよ！」
「It's the only way to convey complex feelings and meaning the most effectively.」	「入り組んだ感情や意味合いを伝えるにはそれしか方法がないですから」	It's the only way to convey complex feelings and meaning the most effectively.	「入り組んだ感情や意味合いを伝えるにはそれしか方法がないですから」
「Avoiding them is not only unnecessarily limiting yourself...it's also a waste!」	「折角のそれを避けてしまうだなんて、不必要に言葉を縛るどころか……無駄にしています！」	Avoiding them is not only unnecessarily limiting yourself...it's also a waste!	「折角のそれを避けてしまうだなんて、不必要に言葉を縛るどころか……無駄にしています！」
「You understand that, right, [player]?」	「あなたもそう思いますよね、[player]さん？」	You understand that, right, [player]?	「あなたもそう思いますよね、[player]さん？」
「Um...!」	「えええ……！」	Um...!	「えっ……！」
「Well??」	「どうなの？？」	Well??	「どうなの？？」
「...」	「……」	...	「……」
How did I get dragged into this in the first place?!	そもそもどうして俺が巻き込まれてるんだ！？	How did I get dragged into this in the first place?!	そもそもどうして俺が巻き込まれてるんだ！？
It's not like I know anything about writing...	書き物について特に詳しいわけでもないのに……	It's not like I know anything about writing...	書き物について特に詳しいわけでもないのに……
But whomever I agree with, they'll probably think more highly of me!	でもどっちかに俺が賛成したら、きっとその子からは評価されるはずだ！	But whomever I agree with, they'll probably think more highly of me!	でもどっちかに俺が賛成したら、きっとその子からは評価されるはずだ！
So, of course that's going to be...!	だから、それはもちろん……！	So, of course that's going to be...!	だから、それはもちろん……！
Natsuki.	ナツキ	Natsuki.	ナツキ
Yuri.	ユリ	Yuri.	ユリ
Help me, Sayori!!	助けて、サヨリ！！	Help me, Sayori!!	助けて、サヨリ！！
「Okay, everyone!」	「よし、みんな！」	Okay, everyone!	「よし、みんな！」
「It's just about time for us to leave.」	「そろそろ時間のようね」	It's just about time for us to leave.	「そろそろ時間のようね」
「How did you all feel about sharing poems?」	「詩を交換してみてどうだった？」	How did you all feel about sharing poems?	「詩を交換してみてどうだった？」
「It was a lot of fun!」	「すごく楽しかったよ！」	It was a lot of fun!	「すごく楽しかったよ！」
「Well, I'd say it was worth it.」	「ええ、やってみる価値はあったと思います」	Well, I'd say it was worth it.	「ええ、やってみる価値はあったと思います」
「It was alright. Well, mostly.」	「良かったわ。まあ、そこそこ」	It was alright. Well, mostly.	「良かったわ。まあ、そこそこ」
「[player], how about you?」	「[player]君はどうだった？」	[player], how about you?	「[player]君はどうだった？」
